Measures
atan2 beta 131.185927 val :0.000000 
atan2 beta 129.472462 val :0.000000 
atan2 beta 127.874986 val :0.000000 
atan2 beta 126.384354 val :0.000000 
atan2 beta 124.992022 val :0.000000 
atan2 beta 123.690070 val :0.000000 
atan2 beta 122.471194 val :0.000000 
atan2 beta 121.328695 val :0.000000 
atan2 beta 120.256439 val :0.000000 
atan2 beta 119.248828 val :0.000000 
atan2 beta -117.474434 val :0.000000 
atan2 beta -118.442931 val :0.000000 
atan2 beta -119.475891 val :0.000000 
atan2 beta -120.579229 val :0.000000 
atan2 beta -121.759482 val :0.000000 
atan2 beta -123.023870 val :0.000000 
atan2 beta -124.380347 val :0.000000 
atan2 beta -125.837655 val :0.000000 
atan2 beta -127.405359 val :0.000000 
atan2 beta -129.093861 val :0.000000 
atan2 beta -130.914385 val :0.000000 
atan2 beta -132.878906 val :0.000000 
atan2 beta -135.000002 val :0.000000 
atan2 beta -137.290612 val :0.000000 
atan2 beta -139.763644 val :0.000000 
atan2 beta -142.431410 val :0.000000 
atan2 beta -145.304849 val :0.000000 
atan2 beta -148.392500 val :0.000000 
atan2 beta -151.699247 val :0.000000 
atan2 beta -155.224862 val :0.000000 
atan2 beta -158.962492 val :0.000000 
atan2 beta -162.897274 val :0.000000 
atan2 beta -167.005386 val :0.000000 
atan2 beta -171.253841 val :0.000000 
atan2 beta -175.601298 val :0.000000 
atan2 beta 180.000003 val :0.000000 
atan2 beta 175.601298 val :0.000000 
atan2 beta 171.253841 val :0.000000 
atan2 beta 167.005386 val :0.000000 
atan2 beta 162.897274 val :0.000000 
atan2 beta 158.962492 val :0.000000 
atan2 beta 155.224862 val :0.000000 
atan2 beta 151.699247 val :0.000000 
atan2 beta 148.392500 val :0.000000 
atan2 beta 145.304849 val :0.000000 
atan2 beta 142.431410 val :0.000000 
